Embedding-based	Giggle-legacy
HMEC_Mammary_Epithelial_Weak_Repressed_PolyComb	HMEC_Mammary_Epithelial_Weak_Repressed_PolyComb
CD4pp_CD25__Th_Primary_Cells_Weak_Repressed_PolyComb	HMEC_Mammary_Epithelial_Repressed_PolyComb
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Weak_Repressed_PolyComb	Muscle_Satellite_Cultured_Cells_Weak_Repressed_PolyComb
GM12878_Lymphoblastoid_Weak_Repressed_PolyComb	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb
HeLa_S3_Cervical_Carcinoma_Weak_Repressed_PolyComb	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Weak_Repressed_PolyComb
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Weak_Repressed_PolyComb	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Weak_Repressed_PolyComb
Ovary_Weak_Repressed_PolyComb	CD3_Primary_Cells_Peripheral_UW_Weak_Repressed_PolyComb
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Weak_Repressed_PolyComb	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Weak_Repressed_PolyComb	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb
CD3_Primary_Cells_Cord_BI_Weak_Repressed_PolyComb	NHEK_Epidermal_Keratinocytes_Weak_Repressed_PolyComb
HSMM_Skeletal_Muscle_Myoblasts_Weak_Repressed_PolyComb	Osteoblasts_Weak_Repressed_PolyComb
CD8_Naive_Primary_Cells_Weak_Repressed_PolyComb	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Weak_Repressed_PolyComb
Peripheral_Blood_Mononuclear_Primary_Cells_Weak_Repressed_PolyComb	IMR90_Cell_Line_Weak_Repressed_PolyComb
K562_Leukemia_Weak_Repressed_PolyComb	Spleen_Quiescent_Low
A549_EtOH_0.02pct_Lung_Carcinoma_Weak_Repressed_PolyComb	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Weak_Repressed_PolyComb
Rectal_Mucosa.Donor_31_Weak_Repressed_PolyComb	NHEK_Epidermal_Keratinocytes_Repressed_PolyComb
Left_Ventricle_Weak_Repressed_PolyComb	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Repressed_PolyComb
CD19_Primary_Cells_Cord_BI_Weak_Repressed_PolyComb	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Repressed_PolyComb
Rectal_Mucosa.Donor_29_Weak_Repressed_PolyComb	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Repressed_PolyComb
Pancreatic_Islets_Weak_Repressed_PolyComb	Breast_vHMEC_Weak_Repressed_PolyComb
Sigmoid_Colon_Weak_Repressed_PolyComb	IMR90_Cell_Line_Repressed_PolyComb
Right_Atrium_Weak_Repressed_PolyComb	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Repressed_PolyComb
CD34_Cultured_Cells_Weak_Repressed_PolyComb	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Repressed_PolyComb
Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Weak_Repressed_PolyComb	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Repressed_PolyComb
Brain_Angular_Gyrus_Weak_Repressed_PolyComb	H1_Derived_Mesenchymal_Stem_Cells_Weak_Repressed_PolyComb
CD3_Primary_Cells_Peripheral_UW_Weak_Repressed_PolyComb	NHDF_Ad_Adult_Dermal_Fibroblasts_Weak_Repressed_PolyComb
Brain_Cingulate_Gyrus_Weak_Repressed_PolyComb	Muscle_Satellite_Cultured_Cells_Repressed_PolyComb
NHLF_Lung_Fibroblasts_Weak_Repressed_PolyComb	Osteoblasts_Repressed_PolyComb
NHDF_Ad_Adult_Dermal_Fibroblasts_Weak_Repressed_PolyComb	HSMM_Skeletal_Muscle_Myoblasts_Weak_Repressed_PolyComb
Fetal_Intestine_Large_Weak_Repressed_PolyComb	Fetal_Adrenal_Gland_Weak_Repressed_PolyComb
CD34_Primary_Cells_Weak_Repressed_PolyComb	NH_A_Astrocytes_Weak_Repressed_PolyComb
Duodenum_Mucosa_Weak_Repressed_PolyComb	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Repressed_PolyComb
Adult_Liver_Weak_Repressed_PolyComb	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Repressed_PolyComb
CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Weak_Repressed_PolyComb	NHLF_Lung_Fibroblasts_Weak_Repressed_PolyComb
Right_Ventricle_Weak_Repressed_PolyComb	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Repressed_PolyComb
Brain_Mid_Frontal_Lobe_Weak_Repressed_PolyComb	NH_A_Astrocytes_Repressed_PolyComb
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Weak_Repressed_PolyComb	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Weak_Repressed_PolyComb
CD56_Primary_Cells_Weak_Repressed_PolyComb	H1_Derived_Mesenchymal_Stem_Cells_Repressed_PolyComb
Brain_Inferior_Temporal_Lobe_Weak_Repressed_PolyComb	HUVEC_Umbilical_Vein_Endothelial_Cells_Weak_Repressed_PolyComb
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Weak_Repressed_PolyComb	Placenta_Amnion_Weak_Repressed_PolyComb
IMR90_Cell_Line_Quiescent_Low	NHDF_Ad_Adult_Dermal_Fibroblasts_Repressed_PolyComb
HUVEC_Umbilical_Vein_Endothelial_Cells_Weak_Repressed_PolyComb	NHLF_Lung_Fibroblasts_Repressed_PolyComb
CD8_Memory_Primary_Cells_Weak_Repressed_PolyComb	A549_EtOH_0.02pct_Lung_Carcinoma_Weak_Repressed_PolyComb
Brain_Substantia_Nigra_Weak_Repressed_PolyComb	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Weak_Repressed_PolyComb
H9_Derived_Neuron_Cultured_Cells_Weak_Repressed_PolyComb	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Weak_Repressed_PolyComb
Psoas_Muscle_Weak_Repressed_PolyComb	HSMM_Skeletal_Muscle_Myoblasts_Repressed_PolyComb
Fetal_Heart_Weak_Repressed_PolyComb	Stomach_Smooth_Muscle_Weak_Repressed_PolyComb
Brain_Hippocampus_Middle_Weak_Repressed_PolyComb	Small_Intestine_Weak_Repressed_PolyComb
H9_Derived_Neuronal_Progenitor_Cultured_Cells_Weak_Repressed_PolyComb	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Repressed_PolyComb
Rectal_Smooth_Muscle_Weak_Repressed_PolyComb	Breast_vHMEC_Repressed_PolyComb
CD4_Memory_Primary_Cells_Weak_Repressed_PolyComb	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Repressed_PolyComb
Brain_Anterior_Caudate_Weak_Repressed_PolyComb	Fetal_Intestine_Large_Repressed_PolyComb
NHEK_Epidermal_Keratinocytes_Weak_Repressed_PolyComb	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Weak_Repressed_PolyComb
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Weak_Repressed_PolyComb	Fetal_Muscle_Leg_Weak_Repressed_PolyComb
Muscle_Satellite_Cultured_Cells_Weak_Repressed_PolyComb	Rectal_Mucosa.Donor_29_Weak_Repressed_PolyComb
Fetal_Intestine_Small_Weak_Repressed_PolyComb	HUVEC_Umbilical_Vein_Endothelial_Cells_Repressed_PolyComb
CD4_Naive_Primary_Cells_Weak_Repressed_PolyComb	HepG2_Hepatocellular_Carcinoma_Weak_Repressed_PolyComb
Skeletal_Muscle_Female_Weak_Repressed_PolyComb	Fetal_Adrenal_Gland_Repressed_PolyComb
CD19_Primary_Cells_Peripheral_UW_Weak_Repressed_PolyComb	Fetal_Intestine_Small_Repressed_PolyComb
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Weak_Repressed_PolyComb	Rectal_Mucosa.Donor_31_Weak_Repressed_PolyComb
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Quiescent_Low	CD3_Primary_Cells_Cord_BI_Repressed_PolyComb
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Weak_Repressed_PolyComb	Fetal_Muscle_Leg_Repressed_PolyComb
Small_Intestine_Weak_Repressed_PolyComb	HeLa_S3_Cervical_Carcinoma_Weak_Repressed_PolyComb
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb	Duodenum_Mucosa_Repressed_PolyComb
Fetal_Brain_Female_Weak_Repressed_PolyComb	Colonic_Mucosa_Weak_Repressed_PolyComb
Osteoblasts_Weak_Repressed_PolyComb	Duodenum_Mucosa_Weak_Repressed_PolyComb
CD15_Primary_Cells_Weak_Repressed_PolyComb	Placenta_Amnion_Repressed_PolyComb
Thymus_Weak_Repressed_PolyComb	Adipose_Nuclei_Weak_Repressed_PolyComb
Duodenum_Smooth_Muscle_Weak_Repressed_PolyComb	Fetal_Intestine_Large_Weak_Repressed_PolyComb
Brain_Germinal_Matrix_Weak_Repressed_PolyComb	H9_Derived_Neuron_Cultured_Cells_Weak_Repressed_PolyComb
Colonic_Mucosa_Weak_Repressed_PolyComb	Neurosphere_Cultured_Cells_Cortex_Derived_Repressed_PolyComb
NH_A_Astrocytes_Weak_Repressed_PolyComb	Fetal_Muscle_Trunk_Weak_Repressed_PolyComb
Neurosphere_Cultured_Cells_Cortex_Derived_Weak_Repressed_PolyComb	Rectal_Mucosa.Donor_29_Repressed_PolyComb
Stomach_Mucosa_Weak_Repressed_PolyComb	Stomach_Smooth_Muscle_Repressed_PolyComb
Stomach_Smooth_Muscle_Weak_Repressed_PolyComb	Duodenum_Smooth_Muscle_Repressed_PolyComb
Adipose_Nuclei_Weak_Repressed_PolyComb	Fetal_Intestine_Small_Weak_Repressed_PolyComb
Placenta_Amnion_Weak_Repressed_PolyComb	Rectal_Mucosa.Donor_31_Repressed_PolyComb
HUVEC_Umbilical_Vein_Endothelial_Cells_Quiescent_Low	Fetal_Lung_Repressed_PolyComb
Aorta_Weak_Repressed_PolyComb	Stomach_Mucosa_Weak_Repressed_PolyComb
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Weak_Repressed_PolyComb	Rectal_Smooth_Muscle_Weak_Repressed_PolyComb
Breast_vHMEC_Weak_Repressed_PolyComb	Neurosphere_Cultured_Cells_Cortex_Derived_Weak_Repressed_PolyComb
H1_Derived_Mesenchymal_Stem_Cells_Weak_Repressed_PolyComb	Skeletal_Muscle_Female_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Female_Weak_Repressed_PolyComb	Monocytes_CD14pp_RO01746_Repressed_PolyComb
Fetal_Kidney_Weak_Repressed_PolyComb	Fetal_Placenta_Weak_Repressed_PolyComb
Dnd41_TCell_Leukemia_Weak_Repressed_PolyComb	Sigmoid_Colon_Weak_Repressed_PolyComb
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb	Fetal_Kidney_Repressed_PolyComb
ES_WA7_Cell_Line_Weak_Repressed_PolyComb	Stomach_Mucosa_Repressed_PolyComb
Fetal_Brain_Male_Weak_Repressed_PolyComb	Fetal_Stomach_Repressed_PolyComb
HepG2_Hepatocellular_Carcinoma_Weak_Repressed_PolyComb	A549_EtOH_0.02pct_Lung_Carcinoma_Repressed_PolyComb
Fetal_Muscle_Leg_Weak_Repressed_PolyComb	CD3_Primary_Cells_Cord_BI_Weak_Repressed_PolyComb
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Weak_Repressed_PolyComb	CD15_Primary_Cells_Repressed_PolyComb
Colon_Smooth_Muscle_Weak_Repressed_PolyComb	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Repressed_PolyComb
HUES6_Cell_Line_Quiescent_Low	Fetal_Stomach_Weak_Repressed_PolyComb
Esophagus_Weak_Repressed_PolyComb	CD34_Cultured_Cells_Weak_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Male_Quiescent_Low	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Repressed_PolyComb
Breast_Myoepithelial_Cells_Weak_Repressed_PolyComb	Skeletal_Muscle_Male_Repressed_PolyComb
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Weak_Repressed_PolyComb	H9_Derived_Neuron_Cultured_Cells_Repressed_PolyComb
Aorta_Weak_transcription	Colon_Smooth_Muscle_Weak_Repressed_PolyComb
Skeletal_Muscle_Male_Weak_Repressed_PolyComb	Small_Intestine_Repressed_PolyComb
CD14_Primary_Cells_Quiescent_Low	Mobilized_CD34_Primary_Cells_Female_Repressed_PolyComb
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Quiescent_Low	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Repressed_PolyComb
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Quiescent_Low	CD34_Primary_Cells_Repressed_PolyComb
Fetal_Lung_Weak_Repressed_PolyComb	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Weak_Repressed_PolyComb
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Quiescent_Low	Skeletal_Muscle_Female_Weak_Repressed_PolyComb
IMR90_Cell_Line_Weak_Repressed_PolyComb	Fetal_Heart_Repressed_PolyComb
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Weak_Repressed_PolyComb	Peripheral_Blood_Mononuclear_Primary_Cells_Weak_Repressed_PolyComb
Monocytes_CD14pp_RO01746_Strong_transcription	Adipose_Nuclei_Repressed_PolyComb
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Quiescent_Low	CD3_Primary_Cells_Peripheral_UW_Repressed_PolyComb
Small_Intestine_Weak_transcription	Gastric_Quiescent_Low
Fetal_Adrenal_Gland_Weak_Repressed_PolyComb	Mobilized_CD34_Primary_Cells_Male_Repressed_PolyComb
CD14_Primary_Cells_Strong_transcription	GM12878_Lymphoblastoid_Weak_Repressed_PolyComb
ES_WA7_Cell_Line_Weak_transcription	CD34_Cultured_Cells_Repressed_PolyComb
Fetal_Stomach_Weak_Repressed_PolyComb	Fetal_Heart_Weak_Repressed_PolyComb
Fetal_Muscle_Trunk_Weak_Repressed_PolyComb	Duodenum_Smooth_Muscle_Weak_Repressed_PolyComb
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Quiescent_Low	Fetal_Muscle_Trunk_Repressed_PolyComb
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb	Ovary_Repressed_PolyComb
Fetal_Placenta_Weak_Repressed_PolyComb	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Weak_Repressed_PolyComb
Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Quiescent_Low	CD14_Primary_Cells_Repressed_PolyComb
Breast_Myoepithelial_Cells_Quiescent_Low	Esophagus_Weak_Repressed_PolyComb
Lung_Weak_Repressed_PolyComb	HepG2_Hepatocellular_Carcinoma_Repressed_PolyComb
iPS_DF_6.9_Cell_Line_Weak_transcription	HUES6_Cell_Line_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Male_Weak_Repressed_PolyComb	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Weak_Repressed_PolyComb
H9_Derived_Neuronal_Progenitor_Cultured_Cells_Strong_transcription	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Repressed_PolyComb
Fetal_Brain_Male_Weak_transcription	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Weak_Repressed_PolyComb
Pancreatic_Islets_Weak_transcription	CD4pp_CD25__Th_Primary_Cells_Weak_Repressed_PolyComb
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Quiescent_Low	Thymus_Repressed_PolyComb
CD14_Primary_Cells_Weak_Repressed_PolyComb	CD4pp_CD25__Th_Primary_Cells_Repressed_PolyComb
Colonic_Mucosa_Weak_transcription	CD4pp_CD25pp_CD127__Treg_Primary_Cells_Weak_Repressed_PolyComb
Monocytes_CD14pp_RO01746_Weak_Repressed_PolyComb	Fetal_Thymus_Repressed_PolyComb
CD15_Primary_Cells_Strong_transcription	CD8_Memory_Primary_Cells_Weak_Repressed_PolyComb
Gastric_Weak_transcription	Dnd41_TCell_Leukemia_Weak_Repressed_PolyComb
H1_Derived_Neuronal_Progenitor_Cultured_Cells_Weak_transcription	Peripheral_Blood_Mononuclear_Primary_Cells_Repressed_PolyComb
Esophagus_Weak_transcription	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Weak_Repressed_PolyComb
Psoas_Muscle_Weak_transcription	CD4pp_CD25pp_CD127__Treg_Primary_Cells_Repressed_PolyComb
NHEK_Epidermal_Keratinocytes_Quiescent_Low	Fetal_Lung_Weak_Repressed_PolyComb
CD56_Primary_Cells_Strong_transcription	Skeletal_Muscle_Male_Weak_Repressed_PolyComb
Fetal_Kidney_Weak_transcription	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Repressed_PolyComb
CD4pp_CD25__Th_Primary_Cells_Strong_transcription	Colonic_Mucosa_Repressed_PolyComb
Lung_Quiescent_Low	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Weak_Repressed_PolyComb
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Weak_transcription	CD34_Primary_Cells_Weak_Repressed_PolyComb
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Weak_Repressed_PolyComb	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Weak_Repressed_PolyComb
H1_Derived_Mesenchymal_Stem_Cells_Quiescent_Low	Fetal_Kidney_Weak_Repressed_PolyComb
Aorta_Quiescent_Low	CD19_Primary_Cells_Peripheral_UW_Weak_Repressed_PolyComb
Pancreas_Weak_transcription	Fetal_Placenta_Repressed_PolyComb
Dnd41_TCell_Leukemia_Strong_transcription	Rectal_Smooth_Muscle_Repressed_PolyComb
HUVEC_Umbilical_Vein_Endothelial_Cells_Heterochromatin	Colon_Smooth_Muscle_Repressed_PolyComb
HMEC_Mammary_Epithelial_Quiescent_Low	H1_BMP4_Derived_Trophoblast_Cultured_Cells_Weak_Repressed_PolyComb
Rectal_Smooth_Muscle_Weak_transcription	CD19_Primary_Cells_Cord_BI_Weak_Repressed_PolyComb
Right_Ventricle_Weak_transcription	Monocytes_CD14pp_RO01746_Weak_Repressed_PolyComb
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Strong_transcription	H1_BMP4_Derived_Mesendoderm_Cultured_Cells_Repressed_PolyComb
HUES64_Cell_Line_Strong_transcription	Brain_Germinal_Matrix_Repressed_PolyComb
HepG2_Hepatocellular_Carcinoma_Heterochromatin	CD4_Memory_Primary_Cells_Weak_Repressed_PolyComb
CD8_Memory_Primary_Cells_Weak_transcription	Thymus_Weak_Repressed_PolyComb
H1_BMP4_Derived_Mesendoderm_Cultured_Cells_Weak_transcription	ES_WA7_Cell_Line_Weak_Repressed_PolyComb
Breast_vHMEC_Quiescent_Low	Mobilized_CD34_Primary_Cells_Female_Weak_Repressed_PolyComb
H9_Derived_Neuron_Cultured_Cells_Strong_transcription	Brain_Hippocampus_Middle_Repressed_PolyComb
Fetal_Adrenal_Gland_Quiescent_Low	H1_BMP4_Derived_Trophoblast_Cultured_Cells_Repressed_PolyComb
Placenta_Amnion_Weak_transcription	HeLa_S3_Cervical_Carcinoma_Repressed_PolyComb
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Weak_transcription	Ovary_Weak_Repressed_PolyComb
CD3_Primary_Cells_Peripheral_UW_Strong_transcription	ES_WA7_Cell_Line_Repressed_PolyComb
Stomach_Mucosa_Weak_transcription	ES_I3_Cell_Line_Repressed_PolyComb
HeLa_S3_Cervical_Carcinoma_Weak_transcription	Right_Ventricle_Weak_Repressed_PolyComb
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Weak_Repressed_PolyComb	Brain_Cingulate_Gyrus_Repressed_PolyComb
H9_Cell_Line_Weak_transcription	Fetal_Thymus_Weak_Repressed_PolyComb
CD4_Naive_Primary_Cells_Weak_transcription	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Weak_Repressed_PolyComb
CD19_Primary_Cells_Peripheral_UW_Strong_transcription	CD15_Primary_Cells_Weak_Repressed_PolyComb
Thymus_Weak_transcription	Brain_Substantia_Nigra_Weak_Repressed_PolyComb
HUES48_Cell_Line_Strong_transcription	CD56_Primary_Cells_Weak_Repressed_PolyComb
Brain_Mid_Frontal_Lobe_Weak_transcription	Psoas_Muscle_Weak_Repressed_PolyComb
Fetal_Thymus_Strong_transcription	Brain_Hippocampus_Middle_Weak_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Female_Strong_transcription	Fetal_Brain_Female_Repressed_PolyComb
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Strong_transcription	iPS_20b_Cell_Line_Repressed_PolyComb
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Weak_transcription	CD4_Naive_Primary_Cells_Weak_Repressed_PolyComb
GM12878_Lymphoblastoid_Quiescent_Low	Breast_Myoepithelial_Cells_Repressed_PolyComb
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Weak_transcription	Spleen_Weak_Repressed_PolyComb
H9_Derived_Neuronal_Progenitor_Cultured_Cells_Quiescent_Low	HUES6_Cell_Line_Weak_Repressed_PolyComb
iPS_20b_Cell_Line_Strong_transcription	CD19_Primary_Cells_Cord_BI_Repressed_PolyComb
Brain_Angular_Gyrus_Weak_transcription	CD8_Naive_Primary_Cells_Weak_Repressed_PolyComb
Right_Atrium_Weak_transcription	Sigmoid_Colon_Repressed_PolyComb
Spleen_Weak_transcription	HUES64_Cell_Line_Repressed_PolyComb
CD8_Naive_Primary_Cells_Weak_transcription	HUES48_Cell_Line_Repressed_PolyComb
HUES6_Cell_Line_Weak_Repressed_PolyComb	iPS_15b_Cell_Line_Repressed_PolyComb
CD4_Memory_Primary_Cells_Weak_transcription	Left_Ventricle_Weak_Repressed_PolyComb
Ovary_Weak_transcription	Left_Ventricle_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Male_Strong_transcription	Lung_Weak_Repressed_PolyComb
HUVEC_Umbilical_Vein_Endothelial_Cells_Weak_transcription	CD14_Primary_Cells_Weak_Repressed_PolyComb
Fetal_Brain_Female_Weak_transcription	Brain_Mid_Frontal_Lobe_Weak_Repressed_PolyComb
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Weak_transcription	Brain_Substantia_Nigra_Repressed_PolyComb
Adult_Liver_Quiescent_Low	Brain_Angular_Gyrus_Repressed_PolyComb
Fetal_Placenta_Quiescent_Low	K562_Leukemia_Weak_Repressed_PolyComb
Sigmoid_Colon_Weak_transcription	Breast_Myoepithelial_Cells_Weak_Repressed_PolyComb
HUES6_Cell_Line_Strong_transcription	ES_I3_Cell_Line_Weak_Repressed_PolyComb
CD34_Cultured_Cells_Strong_transcription	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Repressed_PolyComb
NHLF_Lung_Fibroblasts_Weak_transcription	Right_Ventricle_Repressed_PolyComb
